Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","1","Armenia","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3074","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","97.38","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","832","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","47.75","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","1","Armenia","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","33","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","1","Armenia","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","1","Armenia","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","45","S","Standardized data"
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","50","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","5.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3394","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","107.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","10","Australia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1099","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","72.28","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","1235","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","10","Australia","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","16","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","10","Australia","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","39","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","10","Australia","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","1211","S","Standardized data"
"FBS","Food Balances (2010-)","10","Australia","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","197","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","16.91","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","5511","Production","2901","Grand Total","2018","2018","","","",""
